Sport,Mean,Max,Min
Aeronautics,53.33333333,26,26
Alpine Skiing,45.90100944,55,14
Alpinism,38.8125,57,22
Archery,35.33333333,71,14
Art Competitions,34.39083076,97,14
Athletics,33.73333333,52,12
Badminton,33.4222264,44,16
Baseball,33.33333333,44,16
Basketball,32.45454545,40,16
Basque Pelota,31.412527,26,26
Beach Volleyball,30.28884304,41,18
Biathlon,29.83248731,45,17
Bobsleigh,29.40851064,54,15
Boxing,29.33333333,41,15
Canoeing,29.30952381,48,15
Cricket,29.12234043,44,21
Croquet,29.11018084,58,15
Cross Country Skiing,28.66666667,49,15
Curling,28.53882236,58,17
Cycling,27.93522626,49,14
Diving,27.87145558,51,12
Equestrianism,26.86111111,72,16
Fencing,26.53291087,63,14
Figure Skating,26.46252567,52,11
Football,26.3885468,40,15
Freestyle Skiing,26.30800991,44,13
Golf,26.29916318,50,15
Gymnastics,26.24076148,49,10
Handball,26.04682274,43,14
Hockey,26.0061552,44,15
Ice Hockey,26,48,15
Jeu De Paume,26,43,19
Judo,25.85135135,43,14
Lacrosse,25.83141972,37,14
Luge,25.79828906,53,15
Military Ski Patrol,25.71686169,32,20
Modern Pentathlon,25.67124228,53,15
Motorboating,25.65962699,54,26
Nordic Combined,25.50440026,39,15
Polo,25.50201018,53,21
Racquets,25.32952432,45,19
Rhythmic Gymnastics,25.3245977,30,13
Roque,25.27629357,64,37
Rowing,25.18379971,60,11
Rugby,25.16122324,39,18
Rugby Sevens,25.13815789,36,18
Sailing,24.8258547,71,13
Shooting,24.77399077,72,15
Short Track Speed Skating,24.62626947,35,13
Skeleton,24.42689434,53,18
Ski Jumping,24.38596491,43,14
Snowboarding,24.3423221,40,14
Softball,24.30353951,41,17
Speed Skating,24.05610561,52,13
Swimming,23.73684211,46,11
Synchronized Swimming,23.69324961,40,15
Table Tennis,23.34729786,54,15
Taekwondo,23.20546223,37,16
Tennis,23.05480887,47,13
Trampolining,22.80443286,39,18
Triathlon,22.73303823,42,18
Tug-Of-War,22.48144065,45,17
Volleyball,22.36685083,41,15
Water Polo,22.23218997,45,14
Weightlifting,20.56680341,45,15
Wrestling,18.73708207,50,15
